word,meaning,pronunciation,difficulty
abandon,放弃；抛弃,/əˈbændən/,2
abstract,抽象的；摘要,/ˈæbstrækt/,3
academic,学术的；理论的,/ækəˈdemɪk/,2
accelerate,加速；促进,/əkˈseləreɪt/,3
accent,口音；重音,/ˈæksent/,2
acceptable,可接受的,/əkˈseptəbl/,2
access,通道；访问,/ˈækses/,2
accommodate,容纳；适应,/əˈkɒmədeɪt/,3
accompany,陪伴；伴随,/əˈkʌmpəni/,2
accomplish,完成；实现,/əˈkʌmplɪʃ/,3
accord,一致；协议,/əˈkɔːd/,3
account,账户；说明,/əˈkaʊnt/,1
accurate,准确的；精确的,/ˈækjərət/,2
achieve,达到；获得,/əˈtʃiːv/,2
acknowledge,承认；确认,/əkˈnɒlɪdʒ/,3
acquire,获得；习得,/əˈkwaɪə/,3
adapt,适应；改编,/əˈdæpt/,2
adequate,足够的；适当的,/ˈædɪkwət/,2
adjacent,邻近的；毗连的,/əˈdʒeɪsnt/,3
adjust,调整；适应,/əˈdʒʌst/,2
